[1450846800] LOG ROTATION: DAILY
[1450846800] LOG VERSION: 2.0
[1450849534] Auto-save of retention data completed successfully.
[1450850853] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450851237] SERVICE ALERT: lansweeper;Memory Usage;OK;HARD;3;Memory usage: total:4991.10 MB - used: 3798.68 MB (76%) - free: 1192.41 MB (24%)
[1450851237] SERVICE NOTIFICATION: nagiosadmin;lansweeper;Memory Usage;OK;notify-service-by-email;Memory usage: total:4991.10 MB - used: 3798.68 MB (76%) - free: 1192.41 MB (24%)
[1450853134] Auto-save of retention data completed successfully.
[1450854453] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450856734] Auto-save of retention data completed successfully.
[1450858053] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450860334] Auto-save of retention data completed successfully.
[1450861952] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450863934] Auto-save of retention data completed successfully.
[1450865552] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450867534] Auto-save of retention data completed successfully.
[1450869152] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450871134] Auto-save of retention data completed successfully.
[1450872752] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450874734] Auto-save of retention data completed successfully.
[1450876084] Caught SIGTERM, shutting down...
[1450876084] Successfully shutdown... (PID=13137)
[1450876084] Event broker module 'NERD' deinitialized successfully.
[1450876085] Nagios 4.1.1 starting... (PID=18068)
[1450876085] Local time is Wed Dec 23 08:08:05 EST 2015
[1450876085] LOG VERSION: 2.0
[1450876085] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1450876085] qh: core query handler registered
[1450876085] nerd: Channel hostchecks registered successfully
[1450876085] nerd: Channel servicechecks registered successfully
[1450876085] nerd: Channel opathchecks registered successfully
[1450876085] nerd: Fully initialized and ready to rock!
[1450876085] wproc: Successfully registered manager as @wproc with query handler
[1450876085] wproc: Registry request: name=Core Worker 18072;pid=18072
[1450876085] wproc: Registry request: name=Core Worker 18071;pid=18071
[1450876085] wproc: Registry request: name=Core Worker 18073;pid=18073
[1450876085] wproc: Registry request: name=Core Worker 18070;pid=18070
[1450876085] Successfully launched command file worker with pid 18074
[1450876430] SERVICE ALERT: addc2;Service: Anti-Malware;CRITICAL;SOFT;1;MsMpSvc: Not found
[1450876550] SERVICE ALERT: addc2;Service: Anti-Malware;CRITICAL;SOFT;2;MsMpSvc: Not found
[1450876651] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450876670] SERVICE ALERT: addc2;Service: Anti-Malware;CRITICAL;HARD;3;MsMpSvc: Not found
[1450876670] SERVICE NOTIFICATION: nagiosadmin;addc2;Service: Anti-Malware;CRITICAL;notify-service-by-email;MsMpSvc: Not found
[1450877597] Caught SIGTERM, shutting down...
[1450877597] Successfully shutdown... (PID=18068)
[1450877597] Event broker module 'NERD' deinitialized successfully.
[1450877599] Nagios 4.1.1 starting... (PID=19326)
[1450877599] Local time is Wed Dec 23 08:33:19 EST 2015
[1450877599] LOG VERSION: 2.0
[1450877599] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1450877599] qh: core query handler registered
[1450877599] nerd: Channel hostchecks registered successfully
[1450877599] nerd: Channel servicechecks registered successfully
[1450877599] nerd: Channel opathchecks registered successfully
[1450877599] nerd: Fully initialized and ready to rock!
[1450877599] wproc: Successfully registered manager as @wproc with query handler
[1450877599] wproc: Registry request: name=Core Worker 19330;pid=19330
[1450877599] wproc: Registry request: name=Core Worker 19329;pid=19329
[1450877599] wproc: Registry request: name=Core Worker 19331;pid=19331
[1450877599] wproc: Registry request: name=Core Worker 19328;pid=19328
[1450877599] Successfully launched command file worker with pid 19332
[1450877639] Caught SIGTERM, shutting down...
[1450877639] Successfully shutdown... (PID=19326)
[1450877639] Event broker module 'NERD' deinitialized successfully.
[1450877640] Nagios 4.1.1 starting... (PID=19432)
[1450877640] Local time is Wed Dec 23 08:34:00 EST 2015
[1450877640] LOG VERSION: 2.0
[1450877640] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1450877640] qh: core query handler registered
[1450877640] nerd: Channel hostchecks registered successfully
[1450877640] nerd: Channel servicechecks registered successfully
[1450877640] nerd: Channel opathchecks registered successfully
[1450877640] nerd: Fully initialized and ready to rock!
[1450877640] wproc: Successfully registered manager as @wproc with query handler
[1450877640] wproc: Registry request: name=Core Worker 19435;pid=19435
[1450877640] wproc: Registry request: name=Core Worker 19436;pid=19436
[1450877640] wproc: Registry request: name=Core Worker 19437;pid=19437
[1450877640] wproc: Registry request: name=Core Worker 19434;pid=19434
[1450877640] Successfully launched command file worker with pid 19438
[1450878408] Caught SIGTERM, shutting down...
[1450878408] Successfully shutdown... (PID=19432)
[1450878408] Event broker module 'NERD' deinitialized successfully.
[1450878409] Nagios 4.1.1 starting... (PID=20134)
[1450878409] Local time is Wed Dec 23 08:46:49 EST 2015
[1450878409] LOG VERSION: 2.0
[1450878409] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1450878409] qh: core query handler registered
[1450878409] nerd: Channel hostchecks registered successfully
[1450878409] nerd: Channel servicechecks registered successfully
[1450878409] nerd: Channel opathchecks registered successfully
[1450878409] nerd: Fully initialized and ready to rock!
[1450878409] wproc: Successfully registered manager as @wproc with query handler
[1450878409] wproc: Registry request: name=Core Worker 20137;pid=20137
[1450878409] wproc: Registry request: name=Core Worker 20138;pid=20138
[1450878409] wproc: Registry request: name=Core Worker 20139;pid=20139
[1450878409] wproc: Registry request: name=Core Worker 20136;pid=20136
[1450878409] Successfully launched command file worker with pid 20142
[1450882008] Auto-save of retention data completed successfully.
[1450883280] SERVICE ALERT: localhost;HTTP;CRITICAL;HARD;4;HTTP CRITICAL - Invalid HTTP response received from host: <?xml version="1.0" encoding="ISO-8859-1"?>
[1450885608] Auto-save of retention data completed successfully.
[1450887630] Caught SIGTERM, shutting down...
[1450887630] Successfully shutdown... (PID=20134)
[1450887630] Event broker module 'NERD' deinitialized successfully.
[1450887631] Nagios 4.1.1 starting... (PID=21636)
[1450887631] Local time is Wed Dec 23 11:20:31 EST 2015
[1450887631] LOG VERSION: 2.0
[1450887631] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1450887631] qh: core query handler registered
[1450887631] nerd: Channel hostchecks registered successfully
[1450887631] nerd: Channel servicechecks registered successfully
[1450887631] nerd: Channel opathchecks registered successfully
[1450887631] nerd: Fully initialized and ready to rock!
[1450887631] wproc: Successfully registered manager as @wproc with query handler
[1450887631] wproc: Registry request: name=Core Worker 21640;pid=21640
[1450887631] wproc: Registry request: name=Core Worker 21638;pid=21638
